"Subject","lever_side","reaction","cumulative_count","colony","body_part","log_cumulative_count","box_between_solves","paw_comb","con_pres"
"squirrel_6","left lever","no reaction",432,"C","right paw",6.06842558824411,1,"contra",0
"squirrel_6","left lever","no reaction",433,"C","right paw",6.07073772800249,1,"contra",0
"squirrel_6","left lever","no reaction",434,"C","both paws",6.07304453410041,1,"both",0
"squirrel_6","left lever","no reaction",435,"C","both paws",6.07534603108868,1,"both",0
"squirrel_6","left lever","no reaction",436,"C","both paws",6.07764224334903,1,"both",0
"squirrel_6","left lever","no reaction",437,"C","left paw",6.07993319509559,1,"ipsi",0
"squirrel_6","left lever","no reaction",438,"C","left paw",6.08221891037645,1,"ipsi",0
"squirrel_6","left lever","no reaction",439,"C","left paw",6.08449941307517,1,"ipsi",0
"squirrel_6","left lever","no reaction",440,"C","left paw",6.08677472691231,2,"ipsi",0
"squirrel_6","left lever","no reaction",441,"C","right paw",6.08904487544685,2,"contra",0
"squirrel_6","left lever","no reaction",442,"C","right paw",6.0913098820777,1,"contra",0
"squirrel_6","left lever","no reaction",443,"C","both paws",6.09356977004514,1,"both",0
"squirrel_6","left lever","no reaction",444,"C","left paw",6.09582456243222,1,"ipsi",0
"squirrel_6","left lever","no reaction",445,"C","both paws",6.09807428216624,1,"both",0
"squirrel_6","left lever","no reaction",446,"C","right paw",6.10031895202006,1,"contra",0
"squirrel_6","left lever","no reaction",447,"C","right paw",6.10255859461357,1,"contra",0
"squirrel_6","left lever","no reaction",448,"C","left paw",6.10479323241498,1,"ipsi",0
"squirrel_6","left lever","no reaction",449,"C","right paw",6.10702288774225,1,"contra",0
"squirrel_6","left lever","no reaction",450,"C","right paw",6.10924758276437,1,"contra",0
"squirrel_6","left lever","no reaction",451,"C","left paw",6.11146733950268,1,"ipsi",0
"squirrel_6","left lever","no reaction",452,"C","both paws",6.11368217983223,2,"both",0
"squirrel_6","left lever","no reaction",453,"C","right paw",6.11589212548303,1,"contra",0
"squirrel_6","left lever","no reaction",454,"C","left paw",6.11809719804135,1,"ipsi",0
"squirrel_6","right lever","flinch",455,"C","left paw",6.12029741895095,0,"contra",0
"squirrel_6","left lever","no reaction",456,"C","right paw",6.12249280951439,1,"contra",0
"squirrel_6","left lever","no reaction",457,"C","both paws",6.12468339089421,1,"both",0
"squirrel_6","right lever","flinch",458,"C","both paws",6.12686918411419,0,"both",0
"squirrel_6","left lever","no reaction",459,"C","right paw",6.12905021006055,1,"contra",0
"squirrel_6","left lever","no reaction",460,"C","both paws",6.13122648948314,2,"both",0
"squirrel_6","left lever","no reaction",461,"C","right paw",6.13339804299665,1,"contra",0
"squirrel_6","left lever","no reaction",462,"C","right paw",6.13556489108174,1,"contra",0
"squirrel_6","left lever","no reaction",463,"C","right paw",6.13772705408623,1,"contra",0
"squirrel_6","left lever","no reaction",464,"C","both paws",6.13988455222626,1,"both",0
"squirrel_6","right lever","exit",465,"C","both paws",6.14203740558736,1,"both",0
"squirrel_6","left lever","no reaction",466,"C","left paw",6.14418563412565,1,"ipsi",0
"squirrel_6","left lever","no reaction",467,"C","both paws",6.1463292576689,1,"both",0
